gene,scaffold,gene_id,gene_description,category,header,subheader,module,amg_flags,d,p,f,spore_likely
Han_2018_ERR1398106_NODE_1851_length_6418_cov_37.572843_1,Han_2018_ERR1398106_NODE_1851_length_6418_cov_37.572843,K00626,acetyl-CoA C-acetyltransferase [EC:2.3.1.9] [RN:R00238],Energy,C1,NA,Hydroxypropionate-hydroxybutylate cycle,MKF,Bacteria,p__Firmicutes_A,f__Butyricicoccaceae,TRUE
Han_2018_ERR1398106_NODE_1851_length_6418_cov_37.572843_1,Han_2018_ERR1398106_NODE_1851_length_6418_cov_37.572843,K00626,mmgA;acetyl-CoA acetyltransferase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,MKF,Bacteria,p__Firmicutes_A,f__Butyricicoccaceae,TRUE
Han_2018_ERR1398107_NODE_673_length_27791_cov_6.112489_1,Han_2018_ERR1398107_NODE_673_length_27791_cov_6.112489,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,FM,Bacteria,p__Firmicutes_A,f__Peptostreptococcaceae,TRUE
Han_2018_ERR1398108_NODE_1383_length_13170_cov_14.948456_22,Han_2018_ERR1398108_NODE_1383_length_13170_cov_14.948456,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398108_NODE_3691_length_6783_cov_63.620244_2,Han_2018_ERR1398108_NODE_3691_length_6783_cov_63.620244,K00688,glgP;glycogen phosphorylase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,MKF,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398108_NODE_4630_length_5765_cov_4.985114_1,Han_2018_ERR1398108_NODE_4630_length_5765_cov_4.985114,K00688,glgP;glycogen phosphorylase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,MKF,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398109_NODE_2161_length_9218_cov_29.477791_1,Han_2018_ERR1398109_NODE_2161_length_9218_cov_29.477791,K07699,spo0A;stage 0 sporulation protein A,MISC,Sporulation,phosphorelay,NA,FM,Bacteria,p__Firmicutes_A,f__Ruminococcaceae,FALSE
Han_2018_ERR1398110_NODE_95_length_56237_cov_16.586683_75,Han_2018_ERR1398110_NODE_95_length_56237_cov_16.586683,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398111_NODE_1167_length_6901_cov_3.078878_1,Han_2018_ERR1398111_NODE_1167_length_6901_cov_3.078878,K07699,spo0A;stage 0 sporulation protein A,MISC,Sporulation,phosphorelay,NA,FM,Bacteria,p__Firmicutes_A,f__Butyricicoccaceae,TRUE
Han_2018_ERR1398112_NODE_3208_length_7054_cov_11.772253_3,Han_2018_ERR1398112_NODE_3208_length_7054_cov_11.772253,K00626,acetyl-CoA C-acetyltransferase [EC:2.3.1.9] [RN:R00238],Energy,C1,NA,Dicarboxylate-hydroxybutyrate cycle,MKFB,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398112_NODE_3208_length_7054_cov_11.772253_3,Han_2018_ERR1398112_NODE_3208_length_7054_cov_11.772253,K00626,acetyl-CoA C-acetyltransferase [EC:2.3.1.9] [RN:R00238],Energy,C1,NA,Hydroxypropionate-hydroxybutylate cycle,MKFB,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398112_NODE_3208_length_7054_cov_11.772253_3,Han_2018_ERR1398112_NODE_3208_length_7054_cov_11.772253,K00626,mmgA;acetyl-CoA acetyltransferase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,MKFB,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398113_NODE_1894_length_7396_cov_137.862144_4,Han_2018_ERR1398113_NODE_1894_length_7396_cov_137.862144,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,FM,Bacteria,p__Firmicutes_A,f__Ruminococcaceae,FALSE
Han_2018_ERR1398114_NODE_80_length_59803_cov_7.233246_94,Han_2018_ERR1398114_NODE_80_length_59803_cov_7.233246,K07699,spo0A;stage 0 sporulation protein A,MISC,Sporulation,phosphorelay,NA,FM,Bacteria,p__Firmicutes_A,f__Ruminococcaceae,FALSE
Han_2018_ERR1398119_NODE_155_length_30660_cov_4.465022_40,Han_2018_ERR1398119_NODE_155_length_30660_cov_4.465022,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,TFM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398123_NODE_314_length_49918_cov_17.302569_40,Han_2018_ERR1398123_NODE_314_length_49918_cov_17.302569,K23989,lytD;beta-N-acetylglucosaminidase,MISC,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398123_NODE_980_length_20727_cov_5.605408_10,Han_2018_ERR1398123_NODE_980_length_20727_cov_5.605408,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398125_NODE_1451_length_15445_cov_26.399025_8,Han_2018_ERR1398125_NODE_1451_length_15445_cov_26.399025,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Bacteroidota,f__Marinifilaceae,NA
Han_2018_ERR1398125_NODE_16_length_198094_cov_49.824797_165,Han_2018_ERR1398125_NODE_16_length_198094_cov_49.824797,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Firmicutes_C,f__Megasphaeraceae,FALSE
Han_2018_ERR1398125_NODE_175_length_73316_cov_11.397892_77,Han_2018_ERR1398125_NODE_175_length_73316_cov_11.397892,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398125_NODE_188_length_71046_cov_9.314843_53,Han_2018_ERR1398125_NODE_188_length_71046_cov_9.314843,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,TM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398125_NODE_370_length_48906_cov_123.495671_30,Han_2018_ERR1398125_NODE_370_length_48906_cov_123.495671,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398125_NODE_370_length_48906_cov_123.495671_34,Han_2018_ERR1398125_NODE_370_length_48906_cov_123.495671,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398125_NODE_957_length_22460_cov_8.019862_6,Han_2018_ERR1398125_NODE_957_length_22460_cov_8.019862,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398126_NODE_1284_length_15464_cov_3.819456_25,Han_2018_ERR1398126_NODE_1284_length_15464_cov_3.819456,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Bacteria,p__Firmicutes_A,f__Acutalibacteraceae,FALSE
Han_2018_ERR1398126_NODE_785_length_21174_cov_7.268905_2,Han_2018_ERR1398126_NODE_785_length_21174_cov_7.268905,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Firmicutes_A,f__CAG-508,TRUE
Han_2018_ERR1398127_NODE_155_length_70559_cov_14.504525_76,Han_2018_ERR1398127_NODE_155_length_70559_cov_14.504525,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398129_NODE_269_length_36845_cov_584.341261_50,Han_2018_ERR1398129_NODE_269_length_36845_cov_584.341261,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398130_NODE_269_length_58056_cov_10.917070_1,Han_2018_ERR1398130_NODE_269_length_58056_cov_10.917070,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398130_NODE_269_length_58056_cov_10.917070_4,Han_2018_ERR1398130_NODE_269_length_58056_cov_10.917070,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398130_NODE_3510_length_9190_cov_19.453968_1,Han_2018_ERR1398130_NODE_3510_length_9190_cov_19.453968,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,FM,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Han_2018_ERR1398130_NODE_569_length_38048_cov_9.190246_42,Han_2018_ERR1398130_NODE_569_length_38048_cov_9.190246,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Han_2018_ERR1398130_NODE_741_length_31356_cov_13.574263_26,Han_2018_ERR1398130_NODE_741_length_31356_cov_13.574263,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Verrucomicrobiota,f__Akkermansiaceae,NA
Han_2018_ERR1398132_NODE_115_length_49590_cov_15.253275_18,Han_2018_ERR1398132_NODE_115_length_49590_cov_15.253275,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Firmicutes_A,f__Butyricicoccaceae,TRUE
Han_2018_ERR1398132_NODE_79_length_57482_cov_97.085395_15,Han_2018_ERR1398132_NODE_79_length_57482_cov_97.085395,K07699,spo0A;stage 0 sporulation protein A,MISC,Sporulation,phosphorelay,NA,TM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398137_NODE_1556_length_5653_cov_3.189532_1,Han_2018_ERR1398137_NODE_1556_length_5653_cov_3.189532,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,FM,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Han_2018_ERR1398139_NODE_136_length_47696_cov_5.405554_27,Han_2018_ERR1398139_NODE_136_length_47696_cov_5.405554,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,M,Bacteria,p__Firmicutes_B,f__Syntrophobotulaceae,TRUE
Han_2018_ERR1398139_NODE_136_length_47696_cov_5.405554_68,Han_2018_ERR1398139_NODE_136_length_47696_cov_5.405554,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,FM,Bacteria,p__Firmicutes_B,f__Syntrophobotulaceae,TRUE
Han_2018_ERR1398139_NODE_211_length_37798_cov_66.942082_25,Han_2018_ERR1398139_NODE_211_length_37798_cov_66.942082,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Proteobacteria,f__Enterobacteriaceae,NA
Han_2018_ERR1398142_NODE_908_length_17553_cov_53.283061_15,Han_2018_ERR1398142_NODE_908_length_17553_cov_53.283061,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398143_NODE_1172_length_10164_cov_29.393511_2,Han_2018_ERR1398143_NODE_1172_length_10164_cov_29.393511,K07699,spo0A;stage 0 sporulation protein A,MISC,Sporulation,phosphorelay,NA,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398144_NODE_545_length_10276_cov_5.252128_23,Han_2018_ERR1398144_NODE_545_length_10276_cov_5.252128,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398146_NODE_327_length_27482_cov_10.836913_36,Han_2018_ERR1398146_NODE_327_length_27482_cov_10.836913,K07699,spo0A;stage 0 sporulation protein A,MISC,Sporulation,phosphorelay,NA,FM,Bacteria,p__Firmicutes_A,f__Ruminococcaceae,FALSE
Han_2018_ERR1398149_NODE_4651_length_5308_cov_3.964592_2,Han_2018_ERR1398149_NODE_4651_length_5308_cov_3.964592,K00688,glgP;glycogen phosphorylase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,MKF,Bacteria,p__Firmicutes_A,f__Ruminococcaceae,FALSE
Han_2018_ERR1398149_NODE_4872_length_5083_cov_3.634447_2,Han_2018_ERR1398149_NODE_4872_length_5083_cov_3.634447,K06334,cotJC;spore coat peptide assembly protein CotJC,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398149_NODE_660_length_20158_cov_7.361190_8,Han_2018_ERR1398149_NODE_660_length_20158_cov_7.361190,K07699,spo0A;stage 0 sporulation protein A,MISC,Sporulation,phosphorelay,NA,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398149_NODE_87_length_55167_cov_9.449829_7,Han_2018_ERR1398149_NODE_87_length_55167_cov_9.449829,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,M,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Han_2018_ERR1398152_NODE_1536_length_8805_cov_47.290286_6,Han_2018_ERR1398152_NODE_1536_length_8805_cov_47.290286,K01356,lexA;lexa repressor,MISC,Genetics,DNA repair/ recombination,NA,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398152_NODE_302_length_36418_cov_157.384952_4,Han_2018_ERR1398152_NODE_302_length_36418_cov_157.384952,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Verrucomicrobiota,f__Akkermansiaceae,NA
Han_2018_ERR1398152_NODE_404_length_30174_cov_61.604701_4,Han_2018_ERR1398152_NODE_404_length_30174_cov_61.604701,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398153_NODE_140_length_36435_cov_13.706295_7,Han_2018_ERR1398153_NODE_140_length_36435_cov_13.706295,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398156_NODE_8_length_154878_cov_450.205738_108,Han_2018_ERR1398156_NODE_8_length_154878_cov_450.205738,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Bacteroidota,f__P3,NA
Han_2018_ERR1398157_NODE_1611_length_12117_cov_10.776571_10,Han_2018_ERR1398157_NODE_1611_length_12117_cov_10.776571,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Han_2018_ERR1398157_NODE_4352_length_5430_cov_5.787535_2,Han_2018_ERR1398157_NODE_4352_length_5430_cov_5.787535,K00688,glgP;glycogen phosphorylase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,MKF,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398158_NODE_417_length_17087_cov_17.323215_15,Han_2018_ERR1398158_NODE_417_length_17087_cov_17.323215,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,TM,Bacteria,p__Firmicutes_A,f__Ruminococcaceae,FALSE
Han_2018_ERR1398159_NODE_1053_length_9404_cov_20.493422_2,Han_2018_ERR1398159_NODE_1053_length_9404_cov_20.493422,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398160_NODE_278_length_39941_cov_33.145540_66,Han_2018_ERR1398160_NODE_278_length_39941_cov_33.145540,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Firmicutes_C,f__Dialisteraceae,FALSE
Han_2018_ERR1398162_NODE_1535_length_17560_cov_5.385033_27,Han_2018_ERR1398162_NODE_1535_length_17560_cov_5.385033,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,TFM,Bacteria,p__Proteobacteria,f__Enterobacteriaceae,NA
Han_2018_ERR1398162_NODE_329_length_61492_cov_16.442046_52,Han_2018_ERR1398162_NODE_329_length_61492_cov_16.442046,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398162_NODE_329_length_61492_cov_16.442046_54,Han_2018_ERR1398162_NODE_329_length_61492_cov_16.442046,K06334,cotJC;spore coat peptide assembly protein CotJC,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398162_NODE_386_length_56570_cov_19.884756_62,Han_2018_ERR1398162_NODE_386_length_56570_cov_19.884756,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398162_NODE_575_length_42642_cov_11.862939_33,Han_2018_ERR1398162_NODE_575_length_42642_cov_11.862939,K02049,ABC.SN.A; sulfonate/nitrate/taurine transport system ATP-binding protein,Transporters,NA,NA,NitT/TauT family transport system,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398162_NODE_575_length_42642_cov_11.862939_33,Han_2018_ERR1398162_NODE_575_length_42642_cov_11.862939,K02049,ytlC;ABC transporter ATP-binding protein,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398165_NODE_128_length_80199_cov_9.746693_20,Han_2018_ERR1398165_NODE_128_length_80199_cov_9.746693,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398165_NODE_287_length_47675_cov_11.632066_3,Han_2018_ERR1398165_NODE_287_length_47675_cov_11.632066,K07699,spo0A;stage 0 sporulation protein A,MISC,Sporulation,phosphorelay,NA,FM,Bacteria,p__Firmicutes_A,f__Ruminococcaceae,FALSE
Han_2018_ERR1398165_NODE_3362_length_6733_cov_6.191075_1,Han_2018_ERR1398165_NODE_3362_length_6733_cov_6.191075,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398170_NODE_33_length_80399_cov_134.606305_20,Han_2018_ERR1398170_NODE_33_length_80399_cov_134.606305,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,TM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398172_NODE_1829_length_11546_cov_5.858237_6,Han_2018_ERR1398172_NODE_1829_length_11546_cov_5.858237,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398172_NODE_212_length_54531_cov_27.840902_19,Han_2018_ERR1398172_NODE_212_length_54531_cov_27.840902,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398172_NODE_215_length_54225_cov_15.277534_98,Han_2018_ERR1398172_NODE_215_length_54225_cov_15.277534,K23989,lytD;beta-N-acetylglucosaminidase,MISC,Cell envelope and cell division,Cell wall degradation/ turnover,Autolysis,FM,Bacteria,p__Firmicutes_A,f__CAG-74,FALSE
Han_2018_ERR1398172_NODE_25_length_129472_cov_20.611991_21,Han_2018_ERR1398172_NODE_25_length_129472_cov_20.611991,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398172_NODE_32_length_118907_cov_11.257471_16,Han_2018_ERR1398172_NODE_32_length_118907_cov_11.257471,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398172_NODE_54_length_100316_cov_19.463969_20,Han_2018_ERR1398172_NODE_54_length_100316_cov_19.463969,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,TM,Bacteria,p__Firmicutes_A,f__CAG-138,FALSE
Han_2018_ERR1398172_NODE_54_length_100316_cov_19.463969_30,Han_2018_ERR1398172_NODE_54_length_100316_cov_19.463969,K07097,nrnB;oligoribonuclease NrnB,MISC,Sporulation,Sporulation proteins,Newly identified sporulation proteins (based on transcription profiling),TM,Bacteria,p__Firmicutes_A,f__CAG-138,FALSE
Han_2018_ERR1398173_NODE_2053_length_7131_cov_13.011306_5,Han_2018_ERR1398173_NODE_2053_length_7131_cov_13.011306,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,FM,Bacteria,p__Firmicutes_A,f__Ruminococcaceae,FALSE
