locus,title,description,function,product
BSU_18650,pelB,pectate lyase,degradation of polygalacturonic acid,pectate lyase
BSU_misc_RNA_1,BSU_misc_RNA_1,null,null,NA
BSU_40730,yyaS,unknown,unknown,unknown
BSU_misc_RNA_65,sncO,NA,NA,NA
BSU_30250,ytaP,unknown,unknown,unknown
BSU_24530,lipM,octanoyltransferase,biosynthesis of lipoic acid,octanoyltransferase
BSU_22260,yppF,unknown,unknown,unknown
BSU_36700,moaA,molybdopterin precursor biosynthesis,nitrate respiration,unknown
BSU_24820,yqgU,unknown lipoprotein,unknown,lipoprotein
BSU_20300,yorP,unknown,unknown,unknown
BSU_10990,yitH,unknown,unknown,unknown
BSU_02500,ycbG,transcription regulator of the glucarate/galactarate utilization operon ([wiki|GntR family]),regulation of glucarate/galactarate utilization,transcription regulator ([wiki|GntR family])
BSU_21480,sunA,sublancin 168 is post-translationally modified antimicrobial precursor peptide from the glycocin class,exported antimicrobial peptide,sublancin 168 antimicrobial precursor peptide
BSU_06420,purE,phosphoribosylaminoimidazole carboxylase (ATP-dependent),purine biosynthesis,phosphoribosylaminoimidazole carboxylase (ATP-dependent)
BSU_33850,yvbG,unknown,unknown,unknown
BSU_03260,ycgS,similar to aromatic hydrocarbon catabolism,unknown,unknown
BSU_02960,yceJ,similar to multidrug-efflux transporter,unknown,unknown
BSU_04510,ydbL,unknown,unknown,unknown
BSU_19259,yoyB,unknown,unknown,unknown
BSU_05430,ydfJ,phospholipid efflux pump,resistance to the membrane-acting antibiotic rhodomyrtone,phospholipid efflux pump
BSU_30750,mntC,manganese [wiki|ABC transporter] (membrane protein),manganese uptake,manganese [wiki|ABC transporter] (membrane protein)
BSU_03940,ycnI,putative copper chaperone,copper homeostasis,copper-binding protein
BSU_36930,ywlE,protein arginine phosphatase,dephosphorylation of [[protein|7B1B664A1AE1F641E8E7D9E2894D5C8FFFA92948]],protein arginine phosphatase
BSU_20440,yorB,unknown,unknown,unknown
BSU_17000,kbl,2-amino-3-ketobutyrate CoA ligase,threonine utilization,2-amino-3-ketobutyrate CoA ligase
BSU_34790,trxB,thioredoxin reductase (NADPH),keeps [[protein|4E5C84FDC8FE2FEFF47306C91ECAB7F17D3E38E9|thioredoxin]] in the reduced state,thioredoxin reductase (NADPH)
BSU_28360,ysnA,ITPase,purine metabolism,ITPase
BSU_26480,yrkK,unknown,unknown,unknown
BSU_18710,yozF,unknown,unknown,unknown
BSU_11880,metC,cystathionine beta-lyase,biosynthesis of methionine,cystathionine beta-lyase
BSU_39560,yxeG,unknown,unknown,unknown
BSU_tRNA_64,trnB-Met2,null,translation,transfer RNA-Met
BSU_09800,yheA,glutamine-rich protein,unknown,unknown
BSU_40050,gntR,transcriptional repressor (GntR family) of the gntR-gntK-gntP-gntZ operon,regulation of gluconate utilization,transcriptional repressor of the gluconate operon
BSU_15270,sbp,small basic protein,unknown,unknown
BSU_29170,ytzA,unknown,unknown,unknown
BSU_09790,yheB,unknown,unknown,unknown
BSU_28670,ysfB,similar to carbohydrate diacid transcriptional activator,unknown,unknown
BSU_31410,alaR,transcriptional regulator ([wiki|Lrp family]) of the [[gene|1CA87275AFA1B4E4B5E8E10229009F785E70BBA8]]-[[gene|62A9CD9AF72D0A48EC5ABC1585E2D8636D36D021]] operon,unknown,transcription regulator ([wiki|Lrp family])
BSU_40470,yycC,unknown,unknown,unknown
BSU_03390,yckC,unknown,unknown,unknown
BSU_24810,yqgV,unknown,unknown,unknown
BSU_misc_RNA_9,BSU_misc_RNA_9,null,null,NA
BSU_07166,BSU_07166,Ravikumar et al,NA,NA
BSU_36310,ssbB,single-strand DNA-binding proteinrequired to internalize and to recombine ssDNA with homologous resident duplex,required for efficient genetic transformation,single-strand DNA-binding protein
BSU_04160,mtlR,transcriptional activator of the [[gene|5291FEF41CA547223EDF9EBAFA38D3EE550ED3F3]]-[[gene|EE4A4336E25F5DCAC89214F55CDE203AB47AA249]]-[[gene|4D54898D405EA25A0C74B1F02A492143D49B7B07]] operon,regulation of mannitol utilization,transcriptional activator
BSU_24090,ptb,phosphate butyryltransferase,utilization of branched-chain keto acids,phosphate butyryltransferase
BSU_07310,yfnD,unknown,unknown,unknown
BSU_27080,levR,transcriptional activator of the [[gene|75C568C8F6912AC064B8B435975D52510D25466A]]-[[gene|CAE38D8F25A5EC6AC8045E40072E6FEC632045FA]]-[[gene|8ABA3735067C7AA433E09F219EE7239196377A95]]-[[gene|F23B951F60A6A669D5BD86836906E0F4AD7A0C1B]]-[[gene|sacC ]]operon,regulation of levan and fructose utilization,transcriptional activator
BSU_15360,ylmC,sporulation protein,unknown,sporulation protein
BSU_22290,sspM,small acid-soluble spore protein (minor SASP),protection of spore DNA,small acid-soluble spore protein (minor SASP)
BSU_03510,srfAC,surfactin synthetase / competence,antibiotic synthesis,surfactin synthetase / competence
BSU_35960,rbsB,ribose [wiki|ABC transporter] (binding protein),ribose uptake,ribose [wiki|ABC transporter] (binding protein)
BSU_33030,yuxN,transcription repressor ([wiki|TetR family]),control of [[protein|2C6386E9A63F410558D168798D077DF91590F454]] stability,transcription repressor
BSU_37980,ywdF,similar to glycosyltransferase,unknown,unknown
BSU_29430,ytzD,unknown,unknown,unknown
BSU_25880,yqxJ,unknown,unknown,unknown
BSU_33170,yvrB,[wiki|ABC transporter] (ATP binding domain) for cobalamin,uptake of cobalamin,[wiki|ABC transporter] (ATP binding domain)
BSU_30580,ytmA,unknown,unknown,unknown
BSU_28510,abf2,alpha-L-arabinofuranosidase,arabinan degradation,alpha-L-arabinofuranosidase
BSU_24340,accC,acetyl-CoA carboxylase (biotin carboxylase subunit),production of malonyl-CoA,the substrate for fatty acid biosynthesis
BSU_34420,yveF,unknown,unknown,unknown
BSU_25870,yqcF,antitoxin,inhibition of the cytotoxic activity of [[protein|D828A8E03C894D1082EFCB11BEF1384F04D17ECA]],antitoxin
BSU_26826,yrpDX,NA,NA,NA
BSU_17660,yncF,dUTPase,nucleotide metabolism,dUTPase
BSU_37040,ywkB,unknown,unknown,unknown
BSU_29030,ytcD,[wiki|MarR family|MarR/DUF24 family] transcription regulator,unknown,[wiki|MarR family|MarR/DUF24 family] transcription regulator
BSU_38000,ywdD,unknown,unknown,unknown
BSU_31370,yugJ,"NADPH-dependent furan aldehyde reductase",detoxification of furan aldehydes,furan aldehyde reductase
BSU_37610,ywzC,unknown,unknown,unknown
BSU_08640,yfhS,sporulation gene,unknown,unknown
BSU_tRNA_85,trnSL-Arg1,null,translation,transfer RNA-Arg
BSU_18689,BSU_18689,NA,NA,NA
BSU_02320,ybfP,similar to transcription factor ([wiki|AraC family]),unknown,unknown
BSU_19640,yodL,modulator of [[protein|A4C8719E06F774A6EB4D79757CC79CF89E453A54]] activity,control of [wiki|cell division],modulator of [[protein|A4C8719E06F774A6EB4D79757CC79CF89E453A54]] activity
BSU_12760,xkdW,PBSX prophage,unknown,unknown
BSU_26540,yrkE,similar to sulfurtransferase,unknown,unknown
BSU_16950,pbpX,Class C penicillin-binding protein X,endopeptidase,penicillin-binding protein X
BSU_32580,frlM,aminosugar [wiki|ABC transporter] (permease),uptake of sugar amines,aminosugar [wiki|ABC transporter] (permease)
BSU_24780,yqgY,unknown,unknown,unknown
BSU_07190,yezD,unknown,unknown,unknown
BSU_34410,yveG,unknown,unknown,unknown
BSU_05950,ydiF,similar to [wiki|ABC transporter] (ATP-binding protein),unknown,[wiki|ABC transporter] (ATP-binding protein)
BSU_19530,yodA,similar to malonate semialdehyde decarboxylase,unknown,unknown
BSU_34170,ganR,transcriptional repressor of the galactan utilization operon,regulation of galactan utilization,transcriptional repressor ([wiki|LacI family])
BSU_40630,yybI,inner spore coat protein,protection of the spore,spore coat protein
BSU_06270,ydjO,unknown,unknown,unknown
BSU_15140,rsmH,SAM-dependent 16S rRNA m4C1402 methyltransferase,fine-tuning of the ribosomal decoding center,Ribosomal RNA small subunit methyltransferase H
BSU_40240,yycS,unknown,unknown,unknown
BSU_21530,yolB,similar to phage-related protein,unknown,unknown
BSU_26140,yqbE,similar to phage-related protein,unknown,unknown
BSU_29500,gerW,germination protein,unknown,germination protein
BSU_misc_RNA_66,sncZ,NA,NA,NA
BSU_20680,yoqC,unknown,unknown,unknown
BSU_37250,narI,nitrate reductase (gamma subunit),nitrate respiration,nitrogen assimilation
BSU_24550,gcvPB,glycine decarboxylase (subunit 2),glycine utilization,glycine decarboxylase (subunit 2)
BSU_03210,putC,1-pyrroline-5-carboxylate dehydrogenase,proline utilization,1-pyrroline-5-carboxylate dehydrogenase
BSU_01310,rplF,ribosomal protein uL6,translation,ribosomal protein L6 (uL6)
BSU_03610,tcyA,cystine and diaminopimelate [wiki|ABC transporter] (binding protein),cystine uptake,cystine and diaminopimelate [wiki|ABC transporter] (binding protein)
BSU_37720,bacC,dihydroanticapsin 7-dehydrogenase,biosynthesis of the antibiotic bacilysin,dihydroanticapsin 7-dehydrogenase
BSU_03550,ycxC,unknown,unknown,unknown
BSU_17699,ynzK,unknown,unknown,unknown
BSU_14900,ctaD,cytochrome-c oxidase (caa<sub>3</sub>) (subunit I),respiration,cytochrome-c oxidase (subunit I)
BSU_04750,ydcF,unknown,unknown,unknown
BSU_39029,yxiT/1,part of the yxiT pseudogene,unknown,unknown
BSU_09000,yhbJ,putative efflux system component,unknown,unknown
BSU_32770,yusE,similar to thioredoxin,unknown,unknown
BSU_12120,yjfB,unknown,unknown,unknown
BSU_33750,sdpA,required for [[protein|820635420B3980B620F3E3D7ACF7EDE9DC6275AD]] toxin maturation,maturation of the [[protein|820635420B3980B620F3E3D7ACF7EDE9DC6275AD]] toxin,unknown
BSU_30530,alaP,alanine permease,uptake of D- and L-alanine,alanine permease
BSU_37910,spsA,nucleotide-sugar-dependent glycosyltransferase,spore crust polysaccharide synthesis,nucleotide-sugar-dependent glycosyltransferase
BSU_19270,yozN,unknown,unknown,unknown
BSU_23090,rsiX,anti-[[protein|E77364F274A520FCCA9F5C9504E317B047BA29E6]],control of [[protein|E77364F274A520FCCA9F5C9504E317B047BA29E6]] activity,anti-[[protein|E77364F274A520FCCA9F5C9504E317B047BA29E6]]
BSU_20990,yonU,unknown,unknown,unknown
BSU_17770,yndF,part of the [[protein|AE28299B0F274B189DD90554A5A4F7B9A9479B60]]-[[protein|B14179D0EF5D3493E5CDB8E15378A5088B4FFD10]]-[[protein|2211659780DEC3F4131B127E68EEF626534DF4BE]] germinant receptor of unknown specificity,[[category|SW.4.2.4]],part of the [[protein|AE28299B0F274B189DD90554A5A4F7B9A9479B60]]-[[protein|B14179D0EF5D3493E5CDB8E15378A5088B4FFD10]]-[[protein|2211659780DEC3F4131B127E68EEF626534DF4BE]] germinant receptor
BSU_15310,spoIIGA,Pro-[[protein|3CB24D493B3282278B7DC61CE3C793DFA815F9E2]] protease,maturation of [[protein|3CB24D493B3282278B7DC61CE3C793DFA815F9E2]],Pro-[[protein|3CB24D493B3282278B7DC61CE3C793DFA815F9E2]] protease
BSU_10870,yisU,similar to arginine and lysine export protein,unknown,putative arginine and lysine exporter
BSU_10370,yhfU,S protein of biotin [wiki|ECF transporter],uptake of biotin,S protein of biotin [wiki|ECF transporter]
BSU_04839,ydzL,unknown,unknown,unknown
BSU_37860,spsF,transfer of legionaminic acid to the spore surface,spore crust polysaccharide synthesis,unknown
BSU_34340,epsD,extracellular polysaccharide synthesis,[wiki|biofilm formation],unknown
BSU_30800,menB,naphthoate synthase,biosynthesis of menaquinone,naphthoate synthase
BSU_24170,mmgA,degradative acetoacetyl-CoA thiolase,mother cell metabolism,leucine utilization
BSU_08029,yfzA,unknown,unknown,unknown
BSU_06840,yeeI,similar to <i>E. coli</i> YebC putative transcription factor,unknown,unknown
BSU_02250,ybfJ,unknown,unknown,unknown
BSU_29200,accA,acetyl-CoA carboxylase (alpha subunit),production of malonyl-CoA,the substrate for fatty acid biosynthesis
BSU_24590,yqhG,unknown,unknown,unknown
BSU_14500,ykqA,putative gamma-glutamylcyclotransferase,unknown,unknown
BSU_33570,yvaE,similar to multidrug-efflux transporter,unknown,subunit of unidentified multidrug transporter
BSU_22570,ypiF,unknown,unknown,unknown
BSU_27720,queA,S-adenosylmethionine tRNA ribosyltransferase,tRNA modification,S-adenosylmethionine tRNA ribosyltransferase
BSU_tRNA_30,trnD-Ser,null,translation,transfer RNA-Ser
BSU_22820,yphE,unknown,unknown,unknown
BSU_28099,yszA,unknown,unknown,unknown
BSU_misc_RNA_26,BSU_misc_RNA_26,null,null,NA
BSU_02670,lmrB,lincomycin-resistance protein (multidrug resistance pump),resistance to lincomycin,lincomycin-resistance protein
BSU_tRNA_24,trnI-Thr,null,translation,transfer RNA-Thr
BSU_40210,yydC,unknown,unknown,unknown
BSU_00500,gcaD,bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase,cell wall metabolism,bifunctional N-acetylglucosamine-1-phosphate
BSU_13210,thiX,thiamine [wiki|ECF transporter] (membrane-spanning T protein),thiamine uptake,thiamine [wiki|ECF transporter] (membrane-spanning T protein)
BSU_14550,ykrA,putative [wiki|HAD superfamily] phosphatase,unknown,unknown
BSU_39550,yxeH,[wiki|HAD superfamily] sugar phosphatase,dephosphorylation of phosphosugars,sugar phosphatase
BSU_31830,yueE,putative metal-dependent phosphohydrolase,unknown,unknown
BSU_11170,yitY,similar to oxidoreductase,unknown,unknown
BSU_38910,yxjL,two-component response regulator,unknown,two-component response regulator
BSU_13180,metE,methionine synthase,biosynthesis of methionine,methionine synthase
BSU_36210,ywqH,unknown,unknown,unknown
BSU_03788,yczM,putative toxin,unknown,unknown
BSU_04170,ydaB,similar to acyl-CoA synthetase (long-chain-fatty-acid--CoA ligase),unknown,unknown
BSU_11839,yjzE,general stress protein,unknown,unknown
BSU_20590,yoqL,unknown,unknown,unknown
BSU_38730,cydD,ABC transporter required for expression of cytochrome bd (ATP-binding protein),required for expression of cytochrome bd,ABC transporter  (ATP-binding protein)
BSU_25630,yqeK,symmetrically cleaving Ap<sub>4</sub>A hydrolase,degradation of Ap<sub>4</sub>A,Ap<sub>4</sub>A hydrolase
BSU_17600,xylA,xylose isomerase,utilization of xylan and xylose,xylose isomerase
BSU_16870,ymfI,[[protein|3054CD45713BBD69C2A528DE24AF6AF37175FD9D]]-5 aminopentanone reductase,modification of [[protein|3054CD45713BBD69C2A528DE24AF6AF37175FD9D]],[[protein|3054CD45713BBD69C2A528DE24AF6AF37175FD9D]]-5 aminopentanone reductase
BSU_26030,yqbO,similar to phage-related protein,unknown,unknown
BSU_05150,ydeC,similar to transcription factor (AraC family),unknown,unknown
BSU_00820,lysS,lysyl-tRNA synthetase,translation,lysyl-tRNA synthetase
BSU_29490,tpx,probable thiol peroxidase,unknown,unknown
BSU_22810,yphF,unknown,unknown,unknown
BSU_28530,etfB,electron transfer flavoprotein (beta subunit),fatty acid degradation,electron transfer flavoprotein (beta subunit)
BSU_11400,appC,oligopeptide [wiki|ABC transporter] (permease),uptake of oligopeptides,oligopeptide [wiki|ABC transporter] (permease)
BSU_14050,ykuE,Mn/ Zn-dependent phosphatase,unknown,Mn/ Zn-dependent phosphatase
BSU_17690,yncM,unknown,unknown,unknown
BSU_13510,ykzE,unknown,unknown,unknown
BSU_21320,yomL,unknown protein,unknown,unknown
BSU_09880,yhaR,similar to enoyl CoA hydratase,unknown,unknown
BSU_15990,rpsP,ribosomal protein bS16,translation,ribosomal protein S16 (bS16)
BSU_13350,ykoN,unknown,unknown,unknown
BSU_12510,xre,transcriptional repressor ([wiki|Xre family]) of [[category|SW.5.1.1]] genes,regulation of [[category|SW.5.1.1]] gene expression,transcriptional repressor ([wiki|Xre family])
BSU_20800,yopQ,unknown,unknown,unknown
BSU_08660,sspE,small acid-soluble spore protein (major gamma-type SASP),protection of spore DNA,small acid-soluble spore protein (major gamma-type SASP)
BSU_19915,BSU_19915,NA,NA,NA
BSU_17070,ymcC,unknown,unknown,unknown
BSU_21470,sunT,[[protein|1A6D90298D039FFFD977B2534952BA5E32B3530F|sublancin]] 168 lantibiotic [wiki|ABC transporter],[[protein|1A6D90298D039FFFD977B2534952BA5E32B3530F|sublancin]] export and processing,[[protein|1A6D90298D039FFFD977B2534952BA5E32B3530F|sublancin]] 168 lantibiotic [wiki|ABC transporter]
BSU_31760,pncA,nicotinamidase,"NAD salvage",nicotinamidase
BSU_37880,spsD,legionaminic acid synthesis,legionaminic acid synthesis,unknown
BSU_36280,ywqA,similar to SNF2 helicase,unknown,unknown
BSU_21070,yonJ,unknown,unknown,unknown
BSU_37600,ywfO,putative metal-dependent phosphohydrolase,unknown,unknown
BSU_32380,yunE,unknown,unknown,unknown
BSU_01790,ybbU,NA,NA,NA
BSU_39280,yxxE,unknown,unknown,unknown
BSU_40270,yycP,unknown,unknown,unknown
BSU_11000,yitI,similar to glyphosate N-acetyltransferase,unknown,unknown
BSU_30620,ytlD,similar to [wiki|ABC transporter] (permease),unknown,[wiki|ABC transporter] (permease)
BSU_12580,xtmB,PBSX terminase (large subunit),phage DNA replication,PBSX terminase (large subunit)
BSU_05300,ydeQ,similar to NAD(P)H oxidoreductase,unknown,unknown
BSU_17930,ccdA,membrane-embedded thiol-disulfide oxidoreductase,cytochrome c synthesis,thiol-disulfide oxidoreductase
BSU_28180,ysxD,unknown,unknown,unknown
BSU_08470,yfhB,unknown,unknown,unknown
BSU_12780,xepA,PBSX prophage lytic exoenzyme,phage release,PBSX prophage lytic exoenzyme
BSU_18040,yneP,putative 4-hydroxybenzoyl coenzyme-A thioesterase,unknown,putative 4-hydroxybenzoyl coenzyme-A thioesterase
BSU_20320,yorN,unknown,unknown,unknown
BSU_34399,BSU_34399,NA,NA,NA
BSU_21610,yokF,similar to micrococcal nuclease,unknown,unknown
BSU_02260,ybfK,carboxylesterase NP,degradation of isoprenoid-containing lipids,carboxylesterase NP
BSU_09760,yheE,unknown,unknown,unknown
BSU_02050,ybdO,unknown,unknown,unknown
BSU_34729,yvzJ,unknown,unknown,unknown
BSU_08210,yfiB,similar to [wiki|ABC transporter] (ATP-binding protein),unknown,[wiki|ABC transporter] (ATP-binding protein)
BSU_18190,yngC,similar to alkaline phosphatase,unknown,unknown
BSU_05470,mneP,primary manganese (II) efflux pump,Mn(II) export,manganese (II) efflux pump
BSU_03620,bsdA,transcriptional activator of the [[gene|8A83E44AFE9A1A635C65E6B526690AF7DA201BE1]]-[[gene|FD23F4C2AFCBFE35A79116C5A707FACD454E4180]]-[[gene|868DC9DE1C9C26C780F4CEAA4185640B5B6B781B]] operon,regulation of resistance to salicylic acid,transcriptional activator ([wiki|LysR family])
BSU_38870,yxkA,unknown,unknown,unknown
BSU_14920,ctaF,cytochrome-c oxidase (caa<sub>3</sub>) (subunit IV),respiration,cytochrome-c oxidase (subunit IV)
BSU_09750,sspB,small acid-soluble spore protein (major beta-type SASP),protection of spore DNA,small acid-soluble spore protein (major beta-type SASP)
BSU_32240,thrB,homoserine kinase,biosynthesis of threonine,homoserine kinase
BSU_35780,lytD,peptidoglycan N-acetylglucosaminidase,major autolysin,cell separation
BSU_38330,ywbG,holin-like auxilary protein,unknown,holin-like auxilary protein
BSU_03580,yczE,unknown,unknown,unknown
BSU_31190,rhaM,mutarotase involved in rhamnose utilization,utilization of rhamnose,mutarotase
