old_locus_tag,locus_tag,Gene product,gene name,Functional class,Functional colour,Transcriptome p-adj value , Transcriptome log2fold change in 630?erm?spo0A, Proteome log2fold change in 630?erm?spo0A,Mature spore proteome (PMID:19542279)
CD0232,CD630_02320,Flagellar hook-associated protein FlgL (or HAP3),flgL,1.1.1,0,not significant,not significant,0.3397,not detected
CD0233,CD630_02330,Flagellar assembly factor FliW,fliW,1.1.1,0,0.00832,0.6806,not detected,not detected
CD0234,CD630_02340,Carbon storage regulator homolog CsrA,csrA,6.5.0,9,not significant,not significant,0.1886,not detected
CD0235,CD630_02350,Flagellar protein FliS1,fliS1,1.1.1,0,not significant,not significant,0.273,not detected
CD0236,CD630_02360,Flagellar protein FliS2,fliS2,1.1.1,0,not significant,not significant,-0.0689,not detected
CD0237,CD630_02370,Flagellar hook-associated protein 2 FliD (or HAP2),fliD,1.1.1,0,not significant,not significant,-0.114,not detected
CD0238,CD630_02380,conserved hypothetical protein,,0.0.2,10,not significant,not significant,-0.1573,not detected
CD0239,CD630_02390,Flagellin C,fliC,1.1.1,0,0.00147,0.6466,0.3892,not detected
CD0240,CD630_02400,Glycosyltransferase,,2.2.4,7,not significant,not significant,0.4009,not detected
CD0241,CD630_02410,flagella glycosylation phosphoserine phosphatase,,2.2.4,7,7.52E-08,1.0846,0.5102,not detected
CD0242,CD630_02420,putative nucleoside triphosphate transferase,,2.2.4,7,6.52E-06,0.9477,0.7351,not detected
CD0243,CD630_02430,flagella glycosylation methyltransferase domain protein,,2.2.4,7,7.60E-07,1.0869,0.7179,not detected
CD0244,CD630_02440,putative CDP-glycerol:Poly(glycerophosphate) glycerophosphotransferase,,2.2.4,7,4.49E-08,1.0666,0.2566,not detected
CD0245,CD630_02450,Flagellar basal-body rod protein FlgB,flgB,1.1.1,0,0.0094,0.6974,0.6003,not detected
CD0246,CD630_02460,Flagellar basal-body rod protein FlgC,flgC,1.1.1,0,not significant,not significant,0.4826,not detected
CD0247,CD630_02470,Flagellar hook-basal body complex protein FliE,fliE,1.1.1,0,0.0005,0.8236,0.2394,not detected
CD0248,CD630_02480,Flagellar M-ring protein FliF,fliF,1.1.1,0,0.001,0.7082,0.5638,not detected
CD0249,CD630_02490,Flagellar motor switch protein FliG,fliG,1.1.1,0,0.0015,0.6936,0.4467,not detected
CD0250,CD630_02500,Flagellar assembly protein FliH,fliH,1.1.1,0,0.0002,0.9335,-1.0555,not detected
CD0251,CD630_02510,ATP synthase subunit beta FliI,fliI,1.1.1,0,0.0067,0.6242,not detected,not detected
CD0252,CD630_02520,Flagellar protein FliJ,fliJ,1.1.1,0,1.15E-05,0.9435,not detected,not detected
CD0253,CD630_02530,Flagellar hook-length control protein FliK,fliK,1.1.1,0,0.0001,0.8084,0.1025,not detected
CD0254,CD630_02540,Basal-body rod modification protein FlgD,flgD,1.1.1,0,0.0018,0.7042,0.3263,not detected
CD0255,CD630_02550,Flagellar hook protein FlgE (Distal rod protein),flgE,1.1.1,0,not significant,not significant,0.3404,not detected
CD0255A,CD630_02551,Flagellar protein FlbD,FlbD,1.1.1,0,0.0013,0.8747,0.244,not detected
CD0256,CD630_02560,Flagellar motor rotation protein MotA,motA,1.1.1,0,not significant,not significant,not detected,not detected
CD0257,CD630_02570,Flagellar motor rotation protein MotB (Chemotaxis protein MotB),motB,1.1.1,0,0.0018,0.715,not detected,not detected
CD0258,CD630_02580,Flagellar basal body-associated protein FliL,fliL,1.1.1,0,not significant,not significant,-0.0019,not detected
CD0259,CD630_02590,Flagellar protein FliZ,fliZ,1.1.1,0,0.0049,0.655,not detected,not detected
CD0260,CD630_02600,Flagellar biosynthesis protein FliP,fliP,1.1.1,0,not significant,not significant,not detected,not detected
CD0261,CD630_02610,Flagellar biosynthetic protein FliQ,fliQ,1.1.1,0,not significant,not significant,not detected,not detected
CD0262,CD630_02620,Bifunctional flagellar biosynthesis protein FliR/FlhB,flhB,1.1.1,0,not significant,not significant,not detected,not detected
CD0263,CD630_02630,Flagellar biosynthesis protein FlhA,flhA,1.1.1,0,not significant,not significant,not detected,not detected
CD0264,CD630_02640,Flagellar biosynthesis regulator FlhF (Flagella-associated GTP-binding protein),flhF,1.1.1,0,not significant,not significant,0.3728,not detected
CD0265,CD630_02650,Flagellar number regulator FlhG,flhG,1.1.1,0,not significant,not significant,0.2901,not detected
CD0266,CD630_02660,RNA polymerase sigma-28factor for flagellar operon,fliA,6.2.1,9,not significant,not significant,0.3159,not detected
CD0267,CD630_02670,putative flagellar protein,,1.1.1,0,not significant,not significant,not detected,not detected
CD0267A,CD630_02671,putative flagellar protein,,1.1.1,0,not significant,not significant,not detected,not detected
CD0268,CD630_02680,Flagellar hook-basal body complex protein FlgG1,flgG1,1.1.1,0,not significant,not significant,0.7878,not detected
CD0269,CD630_02690,Flagellar basal body rod protein FlgG,flgG,1.1.1,0,not significant,not significant,-0.1814,not detected
CD0270,CD630_02700,Flagellar motor switch protein FliM,fliM,1.1.1,0,not significant,not significant,0.631,not detected
CD0271,CD630_02710,Flagellar motor switch phosphatase FliN1,fliN1,1.1.1,0,not significant,not significant,0.1199,not detected
CD0272,CD630_02720,conserved hypothetical protein,,0.0.2,10,not significant,not significant,0.3426,not detected
CD0273,CD630_02730,Heat shock protein 90 (Heat shock protein HtpG)(High temperature protein G),htpG,1.3.1,0,not significant,not significant,0.3364,detected
CD0273A,CD630_02731,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0274,CD630_02740,putative iron-containing alcohol dehydrogenase,,3.5.4,1,not significant,not significant,0.0388,not detected
CD0275,CD630_02750,"Spore photoproduct (thymine dimer) lyase,radical S-adenosylmethionine superfamily",splB,1.8.1,0,not significant,not significant,not detected,detected
CD0276,CD630_02760,"Transcriptional regulator, AraC family",,6.3.2,9,not significant,not significant,not detected,not detected
CD0277,CD630_02770,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0278,CD630_02780,"Transcriptional regulator, hxlR family",,6.5.0,9,not significant,not significant,not detected,not detected
CD0279,CD630_02790,pyridoxamine 5'-phosphate oxidase family protein,,3.2.12,7,not significant,not significant,0.3974,not detected
CD0279A,CD630_02791,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0281,CD630_02810,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0282,CD630_02820,putative PHP hydrolase,,3.4.5,6,not significant,not significant,not detected,not detected
CD0283,CD630_02830,"Transcription antiterminator, PTS operon regulator",,6.5.0,9,0.0003,0.962,not detected,not detected
CD0284,CD630_02840,"PTS system, mannose/fructose/sorbose IIA component",,1.5.3,3,not significant,not significant,not detected,not detected
CD0285,CD630_02850,"PTS system, mannose/fructose/sorbose IIB component",,1.5.3,3,2.05E-05,1.5515,not detected,not detected
CD0286,CD630_02860,"PTS system, mannose/fructose/sorbose IIA component",,1.5.3,3,not significant,not significant,not detected,not detected
CD0287,CD630_02870,"PTS system, mannose/fructose/sorbose IIB component",,1.5.3,3,not significant,not significant,not detected,not detected
CD0288,CD630_02880,"PTS system, mannose/fructose/sorbose IIC component",,1.5.3,3,0.0003,1.2542,not detected,not detected
CD0289,CD630_02890,"PTS system, mannose/fructose/sorbose IID component",,1.5.3,3,not significant,not significant,not detected,not detected
CD0290,CD630_02900,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0291,CD630_02910,"putative peptidase, M20A family",,2.1.4,5,not significant,not significant,not detected,not detected
CD0292,CD630_02920,"Transcriptional regulator, HTH-type",,6.5.0,9,1.43E-28,2.7897,not detected,not detected
CD0292A,CD630_02921,uncharacterised protein,,7.0.0,13,2.64E-05,1.5985,not detected,not detected
CD0293,CD630_02930,"ABC-type transport system,bacitracin/multidrug-family ATP-binding protein",,1.5.5,3,1.25E-23,2.6263,not detected,not detected
CD0294,CD630_02940,"ABC-type transport system,bacitracin/multidrug-family permease",,1.5.5,3,1.99E-35,3.0334,not detected,not detected
CD0295,CD630_02950,putative iron-sulfur-binding protein,,3.5.3,1,not significant,not significant,0.0057,not detected
CD0296,CD630_02960,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0297,CD630_02970,Biotin synthase,bioB,3.2.2,7,not significant,not significant,not detected,not detected
CD0298,CD630_02980,"Transcriptional regulator, LacI family",rbsR,6.3.5,9,not significant,not significant,0.2989,not detected
CD0299,CD630_02990,"Ribokinase, pfkB family",rbsK,3.4.3,6,not significant,not significant,0.1814,not detected
CD0300,CD630_03000,"ABC-type transport system, ribose-specific extracellular solute-binding protein",rbsB,1.5.3,3,0.00579,0.9579,0.6722,not detected
CD0301,CD630_03010,"ABC-type transport system, ribose-specific ATP-binding protein",rbsA,1.5.3,3,2.42E-08,1.5988,not detected,not detected
CD0302,CD630_03020,"ABC-type transport system, ribose-specific permease",rbsC,1.5.3,3,2.46E-05,1.3305,not detected,not detected
CD0303,CD630_03030,Acetylornithine deacetylase ArgE,argE,3.1.2,7,0.0003,1.4001,not detected,not detected
CD0304,CD630_03040,uncharacterised protein,,7.0.0,13,not significant,not significant,not detected,detected
CD0305,CD630_03050,putative glutamate carboxypeptidase,,2.1.4,5,not significant,not significant,not detected,not detected
CD0306,CD630_03060,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0307,CD630_03070,putative chaperone protein,,1.3.1,0,not significant,not significant,NaN,not detected
CD0308,CD630_03080,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD0309,CD630_03090,"putative hydrolase, HAD superfamily, subfamily IB",,3.4.0,6,not significant,not significant,0.273,not detected
CD0310,CD630_03100,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0311,CD630_03110,putative spore coat assembly asparagine-rich protein,,1.8.1,0,8.25E-08,-2.843,not detected,not detected
CD0312,CD630_03120,"Transcriptional regulator, ArsR family",,6.3.13,9,not significant,not significant,not detected,not detected
CD0313,CD630_03130,putative K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporting P-type ATPase,,1.4.2,0,not significant,not significant,-0.2593,not detected
CD0314,CD630_03140,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD0315,CD630_03150,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0316,CD630_03160,"ABC-type transport system, permease",,1.5.5,3,not significant,not significant,not detected,not detected
CD0317,CD630_03170,"ABC-type transport system, permease",,1.5.5,3,not significant,not significant,not detected,not detected
CD0318,CD630_03180,"ABC-type transport system,bacitracin/multidrug-family ATP-binding protein",,1.5.5,3,not significant,not significant,not detected,not detected
CD0318A,CD630_03181,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0319,CD630_03190,Two-component sensor histidine kinase,,6.1.1,9,not significant,not significant,not detected,not detected
CD0320,CD630_03200,Two-component response regulator,,6.1.2,9,not significant,not significant,not detected,not detected
CD0321,CD630_03210,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0322,CD630_03220,putative ATPase,,7.0.0,13,not significant,not significant,not detected,not detected
CD0323,CD630_03230,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0324,CD630_03240,Cobalamin biosynthesis protein,cbiM,1.5.2,3,0.0018,-0.6372,-0.6638,not detected
CD0325,CD630_03250,"ABC-type transport system, cobalt-specific extracellular solute-binding protein",cbiN,1.5.2,3,0.0039,-0.6242,not detected,not detected
CD0326,CD630_03260,"ABC-type transport system, cobalt-specific permease",cbiQ1,1.5.2,3,0.0018,-0.6367,not detected,not detected
CD0327,CD630_03270,"ABC-type transport system, cobalt-specific ATP-binding protein",cbiO,1.5.2,3,not significant,not significant,0.0425,not detected
CD0328,CD630_03280,"DNA helicase, UvrD/REP type",pcrA,2.2.3,2,not significant,not significant,-0.1588,not detected
CD0329,CD630_03290,"putative aminopeptidase I, M18 family",,2.1.4,5,not significant,not significant,-0.3922,not detected
CD0330,CD630_03300,"phospholipase, patatin family",,2.1.4,5,not significant,not significant,-0.1314,not detected
CD0331,CD630_03310,Peptidyl-prolyl cis-trans isomerase B (PPIase B) (Rotamase B),ppiB,1.3.1,0,not significant,not significant,-0.1824,detected
CD0332,CD630_03320,putative exosporium glycoprotein,bclA1,1.8.1,0,not significant,not significant,not detected,detected
CD0333,CD630_03330,putative inorganic pyrophosphatase,ppaC,3.3.13,7,not significant,not significant,0.0259,detected
CD0334,CD630_03340,Aldehyde-alcohol dehydrogenase,adhE,3.5.4,1,not significant,not significant,not detected,not detected
CD0335,CD630_03350,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0336,CD630_03360,"ABC-type transport system, ATP-binding protein",,1.5.5,3,not significant,not significant,0.019,not detected
CD0337,CD630_03370,"ABC-type transport system, permease",,1.5.5,3,not significant,not significant,not detected,not detected
CD0338,CD630_03380,Two-component sensor histidine kinase,,6.1.1,9,not significant,not significant,not detected,not detected
CD0339,CD630_03390,Two-component response regulator,,6.1.2,9,not significant,not significant,not detected,not detected
CD0340,CD630_03400,uncharacterised protein,,7.0.0,13,2.28E-11,1.2333,0.7767,not detected
CD0341,CD630_03410,uncharacterised protein,,7.0.0,13,3.92E-12,1.542,not detected,not detected
CD0342,CD630_03420,conserved hypothetical protein,,0.0.2,10,not significant,not significant,0.195,not detected
CD0343,CD630_03430,conserved hypothetical protein,,0.0.2,10,not significant,not significant,0.6629,not detected
CD0344,CD630_03440,putative beta-lactamase-like protein,,1.4.3,0,not significant,not significant,not detected,not detected
CD0345,CD630_03450,putative GTP pyrophosphokinase,,7.0.0,13,not significant,not significant,0.117,not detected
CD0346,CD630_03460,putative phosphoesterase,,7.0.0,13,not significant,not significant,not detected,not detected
CD0347,CD630_03470,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0348,CD630_03480,Fragment of conserved hypothetical protein,,0.0.2,11,not significant,not significant,not detected,not detected
CD0350,CD630_03500,"putative hydrolase, HAD superfamily",,3.4.0,6,not significant,not significant,0.2259,not detected
CD0351,CD630_03510,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0352,CD630_03520,"Transcriptional regulator, RmlC-type",,6.5.0,9,not significant,not significant,not detected,not detected
CD0353,CD630_03530,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0354,CD630_03540,Fragment of putative membrane protein,,4.1.6,11,not significant,not significant,not detected,not detected
CD0354A,CD630_03541,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
